date_local,sample_duration,sample_duration_code,observation_count,arithmetic_mean,aqi
1975-05-06,24 HOUR,7,1,0.0,
1975-05-12,24 HOUR,7,1,0.0,
1975-05-18,24 HOUR,7,1,1.1,
1975-05-24,24 HOUR,7,1,0.0,
1975-05-30,24 HOUR,7,1,0.7,
1975-06-05,24 HOUR,7,1,0.0,
1975-06-11,24 HOUR,7,1,0.0,
1975-06-17,24 HOUR,7,1,0.0,
1975-06-23,24 HOUR,7,1,0.0,
1975-06-29,24 HOUR,7,1,0.0,
1975-07-05,24 HOUR,7,1,0.0,
1975-07-17,24 HOUR,7,1,0.0,
1975-07-29,24 HOUR,7,1,0.0,
1975-08-10,24 HOUR,7,1,0.0,
1975-08-16,24 HOUR,7,1,0.0,
1975-08-22,24 HOUR,7,1,0.0,
1975-09-03,24 HOUR,7,1,0.0,
1975-09-09,24 HOUR,7,1,0.0,
1975-09-15,24 HOUR,7,1,0.0,
1975-09-21,24 HOUR,7,1,0.7,
1975-09-27,24 HOUR,7,1,0.3,
1975-10-27,24 HOUR,7,1,0.0,
1975-05-06,24 HOUR,7,1,0.0,
1975-05-12,24 HOUR,7,1,0.0,
1975-05-18,24 HOUR,7,1,2.2,
1975-05-24,24 HOUR,7,1,0.0,
1975-05-30,24 HOUR,7,1,0.0,
1975-06-05,24 HOUR,7,1,2.2,
1975-06-11,24 HOUR,7,1,0.0,
1975-06-17,24 HOUR,7,1,1.9,
1975-06-23,24 HOUR,7,1,0.0,
1975-06-29,24 HOUR,7,1,0.0,
1975-07-05,24 HOUR,7,1,0.0,
1975-07-11,24 HOUR,7,1,0.0,
1975-07-17,24 HOUR,7,1,0.0,
1975-08-22,24 HOUR,7,1,0.0,
1975-09-03,24 HOUR,7,1,0.0,
1975-09-09,24 HOUR,7,1,0.0,
1975-09-15,24 HOUR,7,1,0.0,
1975-09-21,24 HOUR,7,1,2.6,
1975-09-27,24 HOUR,7,1,1.1,
1975-10-09,24 HOUR,7,1,0.0,
1975-10-15,24 HOUR,7,1,0.0,
1975-05-06,24 HOUR,7,1,0.0,
1975-05-12,24 HOUR,7,1,0.0,
1975-05-18,24 HOUR,7,1,1.1,
1975-05-24,24 HOUR,7,1,0.0,
1975-05-30,24 HOUR,7,1,0.0,
1975-06-05,24 HOUR,7,1,0.0,
1975-06-11,24 HOUR,7,1,0.0,
1975-06-17,24 HOUR,7,1,0.0,
1975-06-23,24 HOUR,7,1,0.0,
1975-06-29,24 HOUR,7,1,0.0,
1975-07-05,24 HOUR,7,1,0.0,
1975-07-11,24 HOUR,7,1,0.0,
1975-07-17,24 HOUR,7,1,0.0,
1975-07-23,24 HOUR,7,1,2.2,
1975-07-29,24 HOUR,7,1,0.0,
1975-08-10,24 HOUR,7,1,0.0,
1975-08-16,24 HOUR,7,1,0.0,
1975-08-22,24 HOUR,7,1,0.0,
1975-09-03,24 HOUR,7,1,0.0,
1975-09-09,24 HOUR,7,1,0.0,
1975-09-15,24 HOUR,7,1,0.0,
1975-09-21,24 HOUR,7,1,1.5,
1975-09-27,24 HOUR,7,1,0.0,
1975-10-03,24 HOUR,7,1,0.7,
1975-05-06,24 HOUR,7,1,0.0,
1975-05-12,24 HOUR,7,1,0.0,
1975-05-18,24 HOUR,7,1,2.2,
1975-05-24,24 HOUR,7,1,0.0,
1975-05-30,24 HOUR,7,1,0.0,
1975-06-05,24 HOUR,7,1,0.0,
1975-06-11,24 HOUR,7,1,0.0,
1975-06-17,24 HOUR,7,1,0.3,
1975-06-29,24 HOUR,7,1,0.0,
1975-07-05,24 HOUR,7,1,0.0,
1975-07-11,24 HOUR,7,1,0.0,
1975-07-17,24 HOUR,7,1,0.0,
1975-07-23,24 HOUR,7,1,1.1,
1975-07-29,24 HOUR,7,1,0.0,
1975-08-10,24 HOUR,7,1,0.0,
1975-08-16,24 HOUR,7,1,0.0,
1975-08-22,24 HOUR,7,1,0.0,
1975-09-03,24 HOUR,7,1,0.0,
1975-09-09,24 HOUR,7,1,0.0,
1975-09-15,24 HOUR,7,1,0.0,
1975-09-21,24 HOUR,7,1,1.9,
1975-09-27,24 HOUR,7,1,0.0,
1975-10-15,24 HOUR,7,1,0.0,
1975-10-21,24 HOUR,7,1,0.7,
1975-05-06,24 HOUR,7,1,0.0,
1975-05-12,24 HOUR,7,1,0.0,
1975-05-18,24 HOUR,7,1,0.0,
1975-05-30,24 HOUR,7,1,0.0,
1975-06-05,24 HOUR,7,1,2.2,
1975-06-11,24 HOUR,7,1,0.7,
1975-06-17,24 HOUR,7,1,0.0,
1975-06-23,24 HOUR,7,1,0.0,
1975-06-29,24 HOUR,7,1,0.0,
1975-07-05,24 HOUR,7,1,0.0,
1975-07-11,24 HOUR,7,1,0.0,
1975-07-17,24 HOUR,7,1,0.0,
1975-07-23,24 HOUR,7,1,1.9,
1975-07-29,24 HOUR,7,1,0.0,
1975-08-10,24 HOUR,7,1,1.5,
1975-08-16,24 HOUR,7,1,0.0,
1975-09-03,24 HOUR,7,1,0.0,
1975-09-09,24 HOUR,7,1,0.0,
1975-09-15,24 HOUR,7,1,0.0,
1975-09-21,24 HOUR,7,1,1.1,
1975-09-27,24 HOUR,7,1,0.0,
1975-10-09,24 HOUR,7,1,0.0,
1975-05-06,24 HOUR,7,1,0.0,
1975-05-12,24 HOUR,7,1,0.0,
1975-05-18,24 HOUR,7,1,1.1,
1975-05-24,24 HOUR,7,1,0.0,
1975-05-30,24 HOUR,7,1,0.7,
1975-06-05,24 HOUR,7,1,0.0,
1975-06-11,24 HOUR,7,1,0.0,
1975-06-17,24 HOUR,7,1,0.0,
1975-06-23,24 HOUR,7,1,0.0,
1975-06-29,24 HOUR,7,1,0.0,
1975-07-05,24 HOUR,7,1,0.0,
1975-07-17,24 HOUR,7,1,0.0,
1975-07-29,24 HOUR,7,1,0.0,
1975-08-10,24 HOUR,7,1,0.0,
1975-08-16,24 HOUR,7,1,0.0,
1975-08-22,24 HOUR,7,1,0.0,
1975-09-03,24 HOUR,7,1,0.0,
1975-09-09,24 HOUR,7,1,0.0,
1975-09-15,24 HOUR,7,1,0.0,
1975-09-21,24 HOUR,7,1,0.7,
1975-09-27,24 HOUR,7,1,0.3,
1975-10-27,24 HOUR,7,1,0.0,
1975-05-06,24 HOUR,7,1,0.0,
1975-05-12,24 HOUR,7,1,0.0,
1975-05-18,24 HOUR,7,1,2.2,
1975-05-24,24 HOUR,7,1,0.0,
1975-05-30,24 HOUR,7,1,0.0,
1975-06-05,24 HOUR,7,1,2.2,
1975-06-11,24 HOUR,7,1,0.0,
1975-06-17,24 HOUR,7,1,1.9,
1975-06-23,24 HOUR,7,1,0.0,
1975-06-29,24 HOUR,7,1,0.0,
1975-07-05,24 HOUR,7,1,0.0,
1975-07-11,24 HOUR,7,1,0.0,
1975-07-17,24 HOUR,7,1,0.0,
1975-08-22,24 HOUR,7,1,0.0,
1975-09-03,24 HOUR,7,1,0.0,
1975-09-09,24 HOUR,7,1,0.0,
1975-09-15,24 HOUR,7,1,0.0,
1975-09-21,24 HOUR,7,1,2.6,
1975-09-27,24 HOUR,7,1,1.1,
1975-10-09,24 HOUR,7,1,0.0,
1975-10-15,24 HOUR,7,1,0.0,
1975-05-06,24 HOUR,7,1,0.0,
1975-05-12,24 HOUR,7,1,0.0,
1975-05-18,24 HOUR,7,1,1.1,
1975-05-24,24 HOUR,7,1,0.0,
1975-05-30,24 HOUR,7,1,0.0,
1975-06-05,24 HOUR,7,1,0.0,
1975-06-11,24 HOUR,7,1,0.0,
1975-06-17,24 HOUR,7,1,0.0,
1975-06-23,24 HOUR,7,1,0.0,
1975-06-29,24 HOUR,7,1,0.0,
1975-07-05,24 HOUR,7,1,0.0,
1975-07-11,24 HOUR,7,1,0.0,
1975-07-17,24 HOUR,7,1,0.0,
1975-07-23,24 HOUR,7,1,2.2,
1975-07-29,24 HOUR,7,1,0.0,
1975-08-10,24 HOUR,7,1,0.0,
1975-08-16,24 HOUR,7,1,0.0,
1975-08-22,24 HOUR,7,1,0.0,
1975-09-03,24 HOUR,7,1,0.0,
1975-09-09,24 HOUR,7,1,0.0,
1975-09-15,24 HOUR,7,1,0.0,
1975-09-21,24 HOUR,7,1,1.5,
1975-09-27,24 HOUR,7,1,0.0,
1975-10-03,24 HOUR,7,1,0.7,
1975-05-06,24 HOUR,7,1,0.0,
1975-05-12,24 HOUR,7,1,0.0,
1975-05-18,24 HOUR,7,1,2.2,
1975-05-24,24 HOUR,7,1,0.0,
1975-05-30,24 HOUR,7,1,0.0,
1975-06-05,24 HOUR,7,1,0.0,
1975-06-11,24 HOUR,7,1,0.0,
1975-06-17,24 HOUR,7,1,0.3,
1975-06-29,24 HOUR,7,1,0.0,
1975-07-05,24 HOUR,7,1,0.0,
1975-07-11,24 HOUR,7,1,0.0,
1975-07-17,24 HOUR,7,1,0.0,
1975-07-23,24 HOUR,7,1,1.1,
1975-07-29,24 HOUR,7,1,0.0,
1975-08-10,24 HOUR,7,1,0.0,
1975-08-16,24 HOUR,7,1,0.0,
1975-08-22,24 HOUR,7,1,0.0,
1975-09-03,24 HOUR,7,1,0.0,
1975-09-09,24 HOUR,7,1,0.0,
1975-09-15,24 HOUR,7,1,0.0,
1975-09-21,24 HOUR,7,1,1.9,
1975-09-27,24 HOUR,7,1,0.0,
1975-10-15,24 HOUR,7,1,0.0,
1975-10-21,24 HOUR,7,1,0.7,
1975-05-06,24 HOUR,7,1,0.0,
1975-05-12,24 HOUR,7,1,0.0,
1975-05-18,24 HOUR,7,1,0.0,
1975-05-30,24 HOUR,7,1,0.0,
1975-06-05,24 HOUR,7,1,2.2,
1975-06-11,24 HOUR,7,1,0.7,
1975-06-17,24 HOUR,7,1,0.0,
1975-06-23,24 HOUR,7,1,0.0,
1975-06-29,24 HOUR,7,1,0.0,
1975-07-05,24 HOUR,7,1,0.0,
1975-07-11,24 HOUR,7,1,0.0,
1975-07-17,24 HOUR,7,1,0.0,
1975-07-23,24 HOUR,7,1,1.9,
1975-07-29,24 HOUR,7,1,0.0,
1975-08-10,24 HOUR,7,1,1.5,
1975-08-16,24 HOUR,7,1,0.0,
1975-09-03,24 HOUR,7,1,0.0,
1975-09-09,24 HOUR,7,1,0.0,
1975-09-15,24 HOUR,7,1,0.0,
1975-09-21,24 HOUR,7,1,1.1,
1975-09-27,24 HOUR,7,1,0.0,
1975-10-09,24 HOUR,7,1,0.0,
1975-10-03,24 HOUR,7,1,14.8,
1975-10-21,24 HOUR,7,1,39.8,
1975-10-27,24 HOUR,7,1,11.6,
1976-08-25,1 HOUR,1,22,20.363636,103.0
1976-08-26,1 HOUR,1,22,17.136364,69.0
1976-08-27,1 HOUR,1,21,17.428571,103.0
1976-08-28,1 HOUR,1,22,13.090909,69.0
1976-08-29,1 HOUR,1,24,17.875,56.0
1976-08-30,1 HOUR,1,21,12.095238,50.0
1976-08-31,1 HOUR,1,21,13.095238,56.0
1976-09-01,1 HOUR,1,21,7.619048,43.0
1976-09-02,1 HOUR,1,8,1.625,19.0
1976-09-03,1 HOUR,1,8,14.625,43.0
1976-09-04,1 HOUR,1,24,20.041667,62.0
1976-09-05,1 HOUR,1,24,9.416667,24.0
1976-09-06,1 HOUR,1,23,6.086957,29.0
1976-09-07,1 HOUR,1,24,6.416667,36.0
1976-09-08,1 HOUR,1,16,6.4375,21.0
1976-09-09,1 HOUR,1,11,8.727273,21.0
1976-09-10,1 HOUR,1,21,10.333333,29.0
1976-09-11,1 HOUR,1,24,5.166667,36.0
1976-09-12,1 HOUR,1,24,1.25,7.0
1976-09-13,1 HOUR,1,23,3.956522,14.0
1976-09-14,1 HOUR,1,21,5.142857,14.0
1976-09-15,1 HOUR,1,16,8.4375,24.0
1976-09-16,1 HOUR,1,18,10.388889,24.0
1976-09-17,1 HOUR,1,19,22.578947,81.0
1976-09-18,1 HOUR,1,24,19.5,52.0
1976-09-19,1 HOUR,1,24,21.375,75.0
1976-09-20,1 HOUR,1,19,12.157895,30.0
1976-09-21,1 HOUR,1,17,7.411765,36.0
1976-09-22,1 HOUR,1,21,15.333333,85.0
1976-09-23,1 HOUR,1,21,10.333333,50.0
1976-09-24,1 HOUR,1,20,9.95,36.0
1976-09-25,1 HOUR,1,24,13.541667,69.0
1976-09-26,1 HOUR,1,24,1.458333,14.0
1976-09-27,1 HOUR,1,20,5.55,21.0
1976-09-28,1 HOUR,1,22,4.818182,14.0
1976-09-29,1 HOUR,1,9,3.555556,19.0
1976-10-01,1 HOUR,1,8,23.75,56.0
1976-10-02,1 HOUR,1,24,16.5,47.0
1976-10-03,1 HOUR,1,24,22.458333,60.0
1976-10-04,1 HOUR,1,21,14.142857,56.0
1976-10-05,1 HOUR,1,22,6.545455,29.0
1976-10-06,1 HOUR,1,24,4.875,29.0
1976-10-07,1 HOUR,1,21,7.857143,72.0
1976-10-08,1 HOUR,1,14,2.428571,10.0
1976-10-09,1 HOUR,1,24,1.458333,14.0
1976-10-10,1 HOUR,1,24,4.041667,14.0
1976-10-11,1 HOUR,1,19,6.684211,21.0
1976-10-12,1 HOUR,1,22,12.090909,62.0
1976-10-13,1 HOUR,1,22,22.954545,85.0
1976-10-14,1 HOUR,1,21,27.952381,87.0
1976-10-15,1 HOUR,1,22,30.0,105.0
1976-10-16,1 HOUR,1,24,19.416667,94.0
1976-10-17,1 HOUR,1,24,2.708333,14.0
1976-10-18,1 HOUR,1,23,4.782609,14.0
1976-10-19,1 HOUR,1,23,13.652174,39.0
1976-10-20,1 HOUR,1,22,8.181818,36.0
1976-10-21,1 HOUR,1,22,11.636364,36.0
1976-10-22,1 HOUR,1,20,11.05,33.0
1976-10-23,1 HOUR,1,24,28.125,112.0
1976-10-24,1 HOUR,1,24,16.125,50.0
1976-10-25,1 HOUR,1,22,7.954545,39.0
1976-10-26,1 HOUR,1,21,6.619048,21.0
1976-10-27,1 HOUR,1,23,9.869565,36.0
1976-10-28,1 HOUR,1,21,19.52381,65.0
1976-10-29,1 HOUR,1,22,18.409091,62.0
1976-10-30,1 HOUR,1,24,7.0,36.0
1976-10-31,1 HOUR,1,24,3.208333,10.0
1976-08-25,1 HOUR,1,22,20.363636,103.0
1976-08-26,1 HOUR,1,22,17.136364,69.0
1976-08-27,1 HOUR,1,21,17.428571,103.0
1976-08-28,1 HOUR,1,22,13.090909,69.0
1976-08-29,1 HOUR,1,24,17.875,56.0
1976-08-30,1 HOUR,1,21,12.095238,50.0
1976-08-31,1 HOUR,1,21,13.095238,56.0
1976-09-01,1 HOUR,1,21,7.619048,43.0
1976-09-02,1 HOUR,1,8,1.625,19.0
1976-09-03,1 HOUR,1,8,14.625,43.0
1976-09-04,1 HOUR,1,24,20.041667,62.0
1976-09-05,1 HOUR,1,24,9.416667,24.0
1976-09-06,1 HOUR,1,23,6.086957,29.0
1976-09-07,1 HOUR,1,24,6.416667,36.0
1976-09-08,1 HOUR,1,16,6.4375,21.0
1976-09-09,1 HOUR,1,11,8.727273,21.0
1976-09-10,1 HOUR,1,21,10.333333,29.0
1976-09-11,1 HOUR,1,24,5.166667,36.0
1976-09-12,1 HOUR,1,24,1.25,7.0
1976-09-13,1 HOUR,1,23,3.956522,14.0
1976-09-14,1 HOUR,1,21,5.142857,14.0
1976-09-15,1 HOUR,1,16,8.4375,24.0
1976-09-16,1 HOUR,1,18,10.388889,24.0
1976-09-17,1 HOUR,1,19,22.578947,81.0
1976-09-18,1 HOUR,1,24,19.5,52.0
1976-09-19,1 HOUR,1,24,21.375,75.0
1976-09-20,1 HOUR,1,19,12.157895,30.0
1976-09-21,1 HOUR,1,17,7.411765,36.0
1976-09-22,1 HOUR,1,21,15.333333,85.0
1976-09-23,1 HOUR,1,21,10.333333,50.0
1976-09-24,1 HOUR,1,20,9.95,36.0
1976-09-25,1 HOUR,1,24,13.541667,69.0
1976-09-26,1 HOUR,1,24,1.458333,14.0
1976-09-27,1 HOUR,1,20,5.55,21.0
1976-09-28,1 HOUR,1,22,4.818182,14.0
1976-09-29,1 HOUR,1,9,3.555556,19.0
1976-10-01,1 HOUR,1,8,23.75,56.0
1976-10-02,1 HOUR,1,24,16.5,47.0
1976-10-03,1 HOUR,1,24,22.458333,60.0
1976-10-04,1 HOUR,1,21,14.142857,56.0
1976-10-05,1 HOUR,1,22,6.545455,29.0
1976-10-06,1 HOUR,1,24,4.875,29.0
1976-10-07,1 HOUR,1,21,7.857143,72.0
1976-10-08,1 HOUR,1,14,2.428571,10.0
1976-10-09,1 HOUR,1,24,1.458333,14.0
1976-10-10,1 HOUR,1,24,4.041667,14.0
1976-10-11,1 HOUR,1,19,6.684211,21.0
1976-10-12,1 HOUR,1,22,12.090909,62.0
1976-10-13,1 HOUR,1,22,22.954545,85.0
1976-10-14,1 HOUR,1,21,27.952381,87.0
1976-10-15,1 HOUR,1,22,30.0,105.0
1976-10-16,1 HOUR,1,24,19.416667,94.0
1976-10-17,1 HOUR,1,24,2.708333,14.0
1976-10-18,1 HOUR,1,23,4.782609,14.0
1976-10-19,1 HOUR,1,23,13.652174,39.0
1976-10-20,1 HOUR,1,22,8.181818,36.0
1976-10-21,1 HOUR,1,22,11.636364,36.0
1976-10-22,1 HOUR,1,20,11.05,33.0
1976-10-23,1 HOUR,1,24,28.125,112.0
1976-10-24,1 HOUR,1,24,16.125,50.0
1976-10-25,1 HOUR,1,22,7.954545,39.0
1976-10-26,1 HOUR,1,21,6.619048,21.0
1976-10-27,1 HOUR,1,23,9.869565,36.0
1976-10-28,1 HOUR,1,21,19.52381,65.0
1976-10-29,1 HOUR,1,22,18.409091,62.0
1976-10-30,1 HOUR,1,24,7.0,36.0
1976-10-31,1 HOUR,1,24,3.208333,10.0
1976-05-06,24 HOUR,7,1,0.0,
1976-05-12,24 HOUR,7,1,0.0,
1976-05-18,24 HOUR,7,1,0.0,
1976-05-24,24 HOUR,7,1,0.0,
1976-05-30,24 HOUR,7,1,0.0,
1976-06-05,24 HOUR,7,1,0.0,
1976-06-11,24 HOUR,7,1,0.0,
1976-06-17,24 HOUR,7,1,0.0,
1976-06-23,24 HOUR,7,1,0.0,
1976-06-29,24 HOUR,7,1,0.0,
1976-07-05,24 HOUR,7,1,0.0,
1976-07-11,24 HOUR,7,1,0.0,
1976-07-17,24 HOUR,7,1,0.0,
1976-07-23,24 HOUR,7,1,0.0,
1976-07-29,24 HOUR,7,1,0.0,
1976-08-04,24 HOUR,7,1,0.0,
1976-08-10,24 HOUR,7,1,0.0,
1976-08-16,24 HOUR,7,1,0.0,
1976-08-22,24 HOUR,7,1,0.0,
1976-08-28,24 HOUR,7,1,0.0,
1976-09-03,24 HOUR,7,1,0.0,
1976-09-09,24 HOUR,7,1,0.0,
1976-09-15,24 HOUR,7,1,0.0,
1976-09-21,24 HOUR,7,1,0.0,
1976-09-27,24 HOUR,7,1,0.0,
1976-10-03,24 HOUR,7,1,0.0,
1976-10-09,24 HOUR,7,1,0.0,
1976-10-15,24 HOUR,7,1,0.0,
1976-10-21,24 HOUR,7,1,0.0,
1976-10-27,24 HOUR,7,1,0.0,
1976-05-06,24 HOUR,7,1,0.0,
1976-05-12,24 HOUR,7,1,0.0,
1976-05-18,24 HOUR,7,1,0.0,
1976-05-24,24 HOUR,7,1,0.0,
1976-05-30,24 HOUR,7,1,0.0,
1976-06-05,24 HOUR,7,1,0.0,
1976-06-17,24 HOUR,7,1,0.0,
1976-06-23,24 HOUR,7,1,0.0,
1976-06-29,24 HOUR,7,1,0.0,
1976-07-05,24 HOUR,7,1,0.0,
1976-07-11,24 HOUR,7,1,0.0,
1976-07-17,24 HOUR,7,1,0.0,
1976-07-23,24 HOUR,7,1,0.0,
1976-07-29,24 HOUR,7,1,0.0,
1976-08-04,24 HOUR,7,1,0.0,
1976-08-10,24 HOUR,7,1,0.0,
1976-08-16,24 HOUR,7,1,0.0,
1976-08-22,24 HOUR,7,1,0.0,
1976-08-28,24 HOUR,7,1,0.0,
1976-09-02,24 HOUR,7,1,0.0,
1976-09-09,24 HOUR,7,1,0.0,
1976-09-15,24 HOUR,7,1,0.0,
1976-09-21,24 HOUR,7,1,0.0,
1976-09-27,24 HOUR,7,1,0.0,
1976-10-03,24 HOUR,7,1,0.0,
1976-10-09,24 HOUR,7,1,0.0,
1976-10-15,24 HOUR,7,1,0.0,
1976-10-21,24 HOUR,7,1,0.7,
1976-10-27,24 HOUR,7,1,0.0,
1976-05-06,24 HOUR,7,1,0.0,
1976-05-12,24 HOUR,7,1,0.0,
1976-05-24,24 HOUR,7,1,0.0,
1976-05-30,24 HOUR,7,1,0.0,
1976-06-05,24 HOUR,7,1,0.0,
1976-06-11,24 HOUR,7,1,0.0,
1976-06-17,24 HOUR,7,1,0.0,
1976-06-23,24 HOUR,7,1,0.0,
1976-06-29,24 HOUR,7,1,0.0,
1976-07-17,24 HOUR,7,1,0.0,
1976-07-23,24 HOUR,7,1,0.0,
1976-07-29,24 HOUR,7,1,0.0,
1976-08-04,24 HOUR,7,1,0.0,
1976-08-22,24 HOUR,7,1,0.0,
1976-08-28,24 HOUR,7,1,0.0,
1976-09-03,24 HOUR,7,1,0.0,
1976-09-09,24 HOUR,7,1,0.0,
1976-09-15,24 HOUR,7,1,0.0,
1976-09-21,24 HOUR,7,1,0.0,
1976-09-27,24 HOUR,7,1,0.0,
1976-10-03,24 HOUR,7,1,0.0,
1976-10-09,24 HOUR,7,1,0.0,
1976-10-15,24 HOUR,7,1,0.0,
1976-10-21,24 HOUR,7,1,0.0,
1976-10-27,24 HOUR,7,1,0.0,
1976-05-06,24 HOUR,7,1,0.0,
1976-05-12,24 HOUR,7,1,0.0,
1976-05-18,24 HOUR,7,1,0.0,
1976-05-24,24 HOUR,7,1,0.0,
1976-05-30,24 HOUR,7,1,0.0,
1976-06-05,24 HOUR,7,1,0.0,
1976-06-11,24 HOUR,7,1,0.0,
1976-06-17,24 HOUR,7,1,0.0,
1976-06-23,24 HOUR,7,1,0.0,
1976-06-29,24 HOUR,7,1,0.0,
1976-07-05,24 HOUR,7,1,0.0,
1976-07-11,24 HOUR,7,1,0.0,
1976-07-17,24 HOUR,7,1,0.0,
1976-07-23,24 HOUR,7,1,0.0,
1976-07-29,24 HOUR,7,1,0.0,
1976-08-04,24 HOUR,7,1,0.0,
1976-08-10,24 HOUR,7,1,0.0,
1976-08-22,24 HOUR,7,1,0.0,
1976-08-28,24 HOUR,7,1,0.0,
1976-09-03,24 HOUR,7,1,0.0,
1976-09-09,24 HOUR,7,1,0.0,
1976-09-21,24 HOUR,7,1,0.0,
1976-09-27,24 HOUR,7,1,0.0,
1976-10-03,24 HOUR,7,1,0.0,
1976-10-09,24 HOUR,7,1,0.0,
1976-10-15,24 HOUR,7,1,0.0,
