date_local,sample_duration,sample_duration_code,observation_count,arithmetic_mean,aqi
1975-05-06,24 HOUR,7,1,24.0,22.0
1975-05-12,24 HOUR,7,1,22.0,20.0
1975-05-18,24 HOUR,7,1,21.0,19.0
1975-05-24,24 HOUR,7,1,25.0,23.0
1975-05-30,24 HOUR,7,1,30.0,28.0
1975-06-05,24 HOUR,7,1,15.0,14.0
1975-06-11,24 HOUR,7,1,19.0,18.0
1975-06-17,24 HOUR,7,1,24.0,22.0
1975-06-23,24 HOUR,7,1,16.0,15.0
1975-06-29,24 HOUR,7,1,18.0,17.0
1975-07-05,24 HOUR,7,1,21.0,19.0
1975-07-17,24 HOUR,7,1,33.0,31.0
1975-07-29,24 HOUR,7,1,22.0,20.0
1975-08-10,24 HOUR,7,1,15.0,14.0
1975-08-16,24 HOUR,7,1,18.0,17.0
1975-08-22,24 HOUR,7,1,31.0,29.0
1975-09-03,24 HOUR,7,1,52.0,48.0
1975-09-09,24 HOUR,7,1,22.0,20.0
1975-09-15,24 HOUR,7,1,28.0,26.0
1975-09-21,24 HOUR,7,1,29.0,27.0
1975-09-27,24 HOUR,7,1,15.0,14.0
1975-10-27,24 HOUR,7,1,11.0,10.0
1975-05-06,24 HOUR,7,1,14.0,13.0
1975-05-12,24 HOUR,7,1,14.0,13.0
1975-05-18,24 HOUR,7,1,18.0,17.0
1975-05-24,24 HOUR,7,1,29.0,27.0
1975-05-30,24 HOUR,7,1,27.0,25.0
1975-06-05,24 HOUR,7,1,19.0,18.0
1975-06-11,24 HOUR,7,1,7.0,6.0
1975-06-17,24 HOUR,7,1,13.0,12.0
1975-06-23,24 HOUR,7,1,25.0,23.0
1975-06-29,24 HOUR,7,1,29.0,27.0
1975-07-05,24 HOUR,7,1,20.0,19.0
1975-07-11,24 HOUR,7,1,22.0,20.0
1975-07-17,24 HOUR,7,1,25.0,23.0
1975-08-22,24 HOUR,7,1,33.0,31.0
1975-09-03,24 HOUR,7,1,19.0,18.0
1975-09-09,24 HOUR,7,1,25.0,23.0
1975-09-15,24 HOUR,7,1,17.0,16.0
1975-09-21,24 HOUR,7,1,20.0,19.0
1975-09-27,24 HOUR,7,1,22.0,20.0
1975-10-09,24 HOUR,7,1,34.0,31.0
1975-10-15,24 HOUR,7,1,22.0,20.0
1975-05-06,24 HOUR,7,1,16.0,15.0
1975-05-12,24 HOUR,7,1,18.0,17.0
1975-05-18,24 HOUR,7,1,32.0,30.0
1975-05-24,24 HOUR,7,1,59.0,53.0
1975-05-30,24 HOUR,7,1,24.0,22.0
1975-06-05,24 HOUR,7,1,25.0,23.0
1975-06-11,24 HOUR,7,1,31.0,29.0
1975-06-17,24 HOUR,7,1,14.0,13.0
1975-06-23,24 HOUR,7,1,13.0,12.0
1975-06-29,24 HOUR,7,1,15.0,14.0
1975-07-05,24 HOUR,7,1,17.0,16.0
1975-07-11,24 HOUR,7,1,19.0,18.0
1975-07-17,24 HOUR,7,1,24.0,22.0
1975-07-23,24 HOUR,7,1,20.0,19.0
1975-07-29,24 HOUR,7,1,19.0,18.0
1975-08-10,24 HOUR,7,1,7.0,6.0
1975-08-16,24 HOUR,7,1,14.0,13.0
1975-08-22,24 HOUR,7,1,26.0,24.0
1975-09-03,24 HOUR,7,1,19.0,18.0
1975-09-09,24 HOUR,7,1,22.0,20.0
1975-09-15,24 HOUR,7,1,38.0,35.0
1975-09-21,24 HOUR,7,1,25.0,23.0
1975-09-27,24 HOUR,7,1,27.0,25.0
1975-10-03,24 HOUR,7,1,22.0,20.0
1975-05-06,24 HOUR,7,1,12.0,11.0
1975-05-12,24 HOUR,7,1,31.0,29.0
1975-05-18,24 HOUR,7,1,12.0,11.0
1975-05-24,24 HOUR,7,1,59.0,53.0
1975-05-30,24 HOUR,7,1,19.0,18.0
1975-06-05,24 HOUR,7,1,33.0,31.0
1975-06-11,24 HOUR,7,1,40.0,37.0
1975-06-17,24 HOUR,7,1,38.0,35.0
1975-06-29,24 HOUR,7,1,16.0,15.0
1975-07-05,24 HOUR,7,1,22.0,20.0
1975-07-11,24 HOUR,7,1,15.0,14.0
1975-07-17,24 HOUR,7,1,12.0,11.0
1975-07-23,24 HOUR,7,1,34.0,31.0
1975-07-29,24 HOUR,7,1,19.0,18.0
1975-08-10,24 HOUR,7,1,21.0,19.0
1975-08-16,24 HOUR,7,1,18.0,17.0
1975-08-22,24 HOUR,7,1,10.0,9.0
1975-09-03,24 HOUR,7,1,19.0,18.0
1975-09-09,24 HOUR,7,1,16.0,15.0
1975-09-15,24 HOUR,7,1,30.0,28.0
1975-09-21,24 HOUR,7,1,16.0,15.0
1975-09-27,24 HOUR,7,1,4.0,4.0
1975-10-15,24 HOUR,7,1,12.0,11.0
1975-10-21,24 HOUR,7,1,14.0,13.0
1975-05-06,24 HOUR,7,1,10.0,9.0
1975-05-12,24 HOUR,7,1,25.0,23.0
1975-05-18,24 HOUR,7,1,24.0,22.0
1975-05-30,24 HOUR,7,1,22.0,20.0
1975-06-05,24 HOUR,7,1,40.0,37.0
1975-06-11,24 HOUR,7,1,23.0,21.0
1975-06-17,24 HOUR,7,1,26.0,24.0
1975-06-23,24 HOUR,7,1,14.0,13.0
1975-06-29,24 HOUR,7,1,34.0,31.0
1975-07-05,24 HOUR,7,1,11.0,10.0
1975-07-11,24 HOUR,7,1,61.0,54.0
1975-07-17,24 HOUR,7,1,20.0,19.0
